,compset_id,hellodata_id,property,comp,lat,lon,zip
29,61969,7c67ed91-ec02-5af5-a8e9-b4b2f60eafa5,Cortland at the Hill,Windsor Chastain,33.88553,-84.38054,30342
30,61969,d01ce880-0597-5794-bef7-00c85728e446,Cortland at the Hill,Adley City Springs,33.92072,-84.37844,30328
31,61969,9f082093-cc80-5b8c-849e-4a3a8415183e,Cortland at the Hill,Brookleigh Flats Apartments,33.89194,-84.32361,30319
32,61969,89605f4d-93e3-5f68-afbf-5ab3d77994c4,Cortland at the Hill,Windsor Parkview,33.88827,-84.31504,30341
33,61969,9a0e10d2-745a-5d47-a3f4-1f623bf9afc9,Cortland at the Hill,The Collection,33.88044,-84.38153,30342
34,61969,76e96e68-b596-5085-ae10-75d7ee6713a3,Cortland at the Hill,Bell Glenridge,33.90795,-84.36046,30342
35,61969,b143a5b0-bf64-59e5-bfc4-83c9c7e8142e,Cortland at the Hill,Glenn Perimeter,33.91173,-84.36108,30328
36,61969,d473a18d-b3d7-5540-acf2-704b96df0dca,Cortland at the Hill,The Alastair at Aria Village,33.93353,-84.36504,30328
37,61969,9f689e5a-b429-514e-a5b8-06c25681c32b,Cortland at the Hill,AMLI Brookhaven,33.91425,-84.3449,30319
38,61993,ea423d66-fe47-58dd-ba10-89e9babc4614,Perimeter Circle,Perimeter Circle,33.90517,-84.37211,30342
39,61993,f1ffd771-1d1b-5e89-9800-5dd3ebe24858,Perimeter Circle,Charleston Court,33.90408,-84.37311,30342
40,61993,103e0e44-bc89-50dc-a5b8-f47f66243d21,Perimeter Circle,Perimeter 5550,33.90649,-84.36861,30342
41,61993,54133137-964b-537a-a04a-8ca6524bc538,Perimeter Circle,The Stratford,33.90356,-84.37187,30342
42,61993,2cd68d15-e3ac-51a3-a840-a3677868a3e7,Perimeter Circle,Aven Chastain,33.8902,-84.3797,30342
43,61993,439fea63-1571-5dad-99e4-3d9ffb58950c,Perimeter Circle,Sirona,33.90437,-84.36867,30342
44,61993,76e96e68-b596-5085-ae10-75d7ee6713a3,Perimeter Circle,Bell Glenridge,33.90795,-84.36046,30342
45,61993,bff8ed1c-9992-56c0-826a-b6d86eeeed4d,Perimeter Circle,Arches at Glenridge,33.90839,-84.36393,30342
46,61993,4aececd4-d302-5a04-9188-9923d0cf9519,Perimeter Circle,Park at Chastain Apartments,33.8867,-84.37913,30342
47,61993,d01ce880-0597-5794-bef7-00c85728e446,Perimeter Circle,Adley City Springs,33.92072,-84.37844,30328
48,61993,afe1fd02-c1bd-5ca9-9294-2ca073e4f8fc,Perimeter Circle,1160 Hammond,33.91934,-84.34861,30328
49,61993,c063434f-73e4-5ab5-90fa-d6266a1e62b8,Perimeter Circle,Aspire Perimeter,33.90216,-84.35206,30342
50,61992,103e0e44-bc89-50dc-a5b8-f47f66243d21,Perimeter 5550,Perimeter 5550,33.90649,-84.36861,30342
51,61992,ea423d66-fe47-58dd-ba10-89e9babc4614,Perimeter 5550,Perimeter Circle,33.90517,-84.37211,30342
