hellodata_id,hellodata_property,oslPropertyID,ParentAssetName
1a9af61d-e1bf-5a12-91cc-dcc2b297f30b,Cortland Mountain Vista,4382816,Cortland Mountain Vista
1aba5fcd-6c2c-50b2-878e-17143894f2b7,Cortland at the Battery Atlanta,4405678,Cortland at the Battery Atlanta
81013b2b-8a38-559a-aeb1-54238a6b0d0b,Cortland World Gateway,4412161,Cortland World Gateway
b2f03a69-3399-5d16-aa6b-fcbf2d895716,Cortland Luxe Shadow Creek,4412162,Cortland Luxe Shadow Creek
c929efc0-29b9-5418-a898-823ab21c69ee,Cortland Vera Sanford,4412164,Cortland Vera Sanford
955cbdee-e73d-5610-9ee7-7009b40614e2,Cortland Las Colinas,4412165,Cortland Las Colinas
74f1fa92-5f95-596d-8742-6665c826ea34,Cortland Phillips Creek Ranch,4431920,Cortland Phillips Creek Ranch
030fe880-7acb-5acf-83fd-e65b39b26791,Cortland Whitehall,4450018,Cortland Whitehall
d437519b-9ec5-5704-af60-d210cfe76e12,Cortland at Phipps Plaza,4450019,Cortland at Phipps Plaza
92a02390-5a02-59a3-a9cf-0eb735e61f20,Cortland Red Mountain,4453999,Cortland Red Mountain
2cd9b7bd-489d-5ce7-b9b6-6ab7eace44a5,Attiva Peachtree,4458877,Attiva Peachtree
621d3e26-f971-5e5e-a723-b513ab8ba629,Cortland North Plano,4463075,Cortland North Plano
6ec5595a-577a-59ed-83ae-68ef2e0013e1,Cortland Vesta,4506474,Cortland Vesta
815cf54f-f4fe-5167-9e8c-3891284663e4,Cortland Bayport,4531917,Cortland Bayport
5c6c20bd-6b8e-562f-acb2-acd4d33b0a4b,Cortland Midtown East,4545104,Cortland Midtown East
97648651-d0d9-50b7-9f19-33ff1099a959,Cortland Bear Creek,4559198,Cortland Bear Creek
18f9d1c0-6af3-5f9c-b3d5-294654ced1f5,Cortland Brackenridge,4559202,Cortland Brackenridge
cdc5fd2d-62f6-53c7-b463-b3150749c6db,Fountain Wood,4559203,Fountain Wood
100b9c6b-7959-5a4a-8677-78880f6b8c58,Cortland La Villita,4559209,Cortland La Villita
26e6835d-611d-51ba-be26-aa919c6cd172,Cortland at Twin Creeks,4559210,Cortland at Twin Creeks
df067fae-084d-5ad9-a200-efde8aee02d7,Cortland Biltmore Place,4559211,Cortland Biltmore Place
c2dcefae-1481-5606-bc87-be218eda40ea,Cortland Walker Ranch,4559212,Cortland Walker Ranch
1898eb39-a89c-502b-bddc-d07c4439e627,Cortland Desert Ridge,4559213,Cortland Desert Ridge
23764142-6db3-52b2-a97c-85cd830be441,Cortland Prairie Creek,4559215,Cortland Prairie Creek
